Date,Farmer,Location,Gross Weight (Tons),Yield (%)
2024-05-01,John Doe,Farm A - Paddock 1,20,5.4
2024-05-01,Jane Smith,Farm B - Paddock 3,15,3.2
2024-05-02,Bob Johnson,Farm C - Paddock 2,18,7.1
2024-05-02,Emily Hay,Farm D - Paddock 5,22,4.5
2024-05-03,Tom Brown,Farm A - Paddock 2,19,6.8
2024-05-03,Lisa Blue,Farm B - Paddock 1,21,5.9
2024-05-04,Alice Green,Farm C - Paddock 3,17,2.8
2024-05-04,Mark Snow,Farm D - Paddock 4,23,8.3
2024-05-05,Chris Black,Farm A - Paddock 5,25,7.0
2024-05-05,Sara White,Farm B - Paddock 2,16,4.6
2024-05-06,Daniel Rose,Farm C - Paddock 1,14,5.5
2024-05-06,Olivia Gold,Farm D - Paddock 3,20,6.2
2024-05-07,Henry Peach,Farm A - Paddock 4,22,9.4
2024-05-07,Michelle Silver,Farm B - Paddock 5,18,3.1
2024-05-08,Kevin Copper,Farm C - Paddock 2,19,7.5
2024-05-08,Anna Nickel,Farm D - Paddock 1,24,8.9
2024-05-09,Victor Zinc,Farm A - Paddock 3,21,6.3
2024-05-09,Julia Platinum,Farm B - Paddock 4,15,2.7
2024-05-10,Rachel Iron,Farm C - Paddock 5,13,4.8
2024-05-10,Steve Magnesium,Farm D - Paddock 2,22,5.6
2024-05-11,Oscar Bronze,Farm A - Paddock 1,20,6.9
2024-05-11,Nicole Tin,Farm B - Paddock 3,19,7.2
2024-05-12,Brad Nickel,Farm C - Paddock 4,16,3.3
2024-05-12,Heather Carbon,Farm D - Paddock 5,14,2.1
2024-05-13,Greg Silver,Farm A - Paddock 2,25,8.6
2024-05-13,Diana Uranium,Farm B - Paddock 1,21,4.9
2024-05-14,Sam Zinc,Farm C - Paddock 3,20,5.3
2024-05-14,Kate Iron,Farm D - Paddock 4,23,7.7
2024-05-15,Luke Copper,Farm A - Paddock 5,22,9.8
2024-05-15,Marie Gold,Farm B - Paddock 2,17,4.4
2024-05-16,Paul Aluminum,Farm C - Paddock 1,18,6.1
2024-05-16,Rita Lead,Farm D - Paddock 3,19,5.2
2024-05-17,Clara Nickel,Farm A - Paddock 4,15,3.8
2024-05-17,Tony Steel,Farm B - Paddock 5,16,2.9
2024-05-18,Susan Copper,Farm C - Paddock 2,14,7.6
2024-05-18,Derek Iron,Farm D - Paddock 1,25,8.0
2024-05-19,Aaron Zinc,Farm A - Paddock 3,23,6.5
2024-05-19,Bella Titanium,Farm B - Paddock 4,13,4.0
2024-05-20,Cindy Silver,Farm C - Paddock 5,24,9.1
2024-05-20,Matt Platinum,Farm D - Paddock 2,18,6.4
2024-05-21,Fred Lead,Farm A - Paddock 1,21,5.0
2024-05-21,Gina Brass,Farm B - Paddock 3,19,8.2
2024-05-22,Norman Gold,Farm C - Paddock 4,20,3.5
2024-05-22,Lori Steel,Farm D - Paddock 5,22,7.3
2024-05-23,Neil Iron,Farm A - Paddock 2,23,8.4
2024-05-23,Elaine Copper,Farm B - Paddock 1,17,5.7
2024-05-24,Monica Zinc,Farm C - Paddock 3,18,2.6
2024-05-24,Dan Nickel,Farm D - Paddock 4,20,7.9
2024-05-25,Kyle Tin,Farm A - Paddock 5,25,9.0
2024-05-25,Lois Carbon,Farm B - Paddock 2,16,4.2
